PID,year,state_abbr,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault
1980-UT,1980,UT,1458729,4425,55,404.0,,1170,2796
1980-VA,1980,VA,5323412,16355,459,1458.0,,6392,8046
1980-VT,1980,VT,511299,914,11,149.0,,199,555
1980-WA,1980,WA,4113331,19098,225,2169.0,,5558,11146
1980-WI,1980,WI,4680917,8546,136,697.0,,3310,4403
1980-WV,1980,WV,1930787,3547,138,306.0,,936,2167
1980-WY,1980,WY,468954,1841,29,134.0,,208,1470
1981-AK,1981,AK,412000,2537,60,421.0,,472,1584
1981-AL,1981,AL,3916000,18423,465,1021.0,,4952,11985
1981-AR,1981,AR,2294000,7119,209,577.0,,1776,4557
1981-AZ,1981,AZ,2793000,16082,227,1064.0,,4961,9830
1981-CA,1981,CA,24159000,208485,3143,13566.0,,93781,97995
1981-CO,1981,CO,2963000,15755,239,1352.0,,4726,9438
1981-CT,1981,CT,3132000,14033,168,687.0,,7709,5469
1981-DC,1981,DC,636000,14468,223,414.0,,10399,3432
1981-DE,1981,DE,598000,3044,40,170.0,,844,1990
1981-FL,1981,FL,10166000,98109,1522,5707.0,,35473,55407
1981-GA,1981,GA,5569000,30527,960,2362.0,,10938,16267
1981-HI,1981,HI,979000,2424,47,340.0,,1453,584
1981-IA,1981,IA,2897000,5915,76,389.0,,1554,3896
1981-ID,1981,ID,959000,2717,43,198.0,,362,2114
1981-IL,1981,IL,11455000,90781,1205,3716.0,,42752,43108
1981-IN,1981,IN,5466000,18672,388,1616.0,,7050,9618
1981-KS,1981,KS,2381000,8796,151,733.0,,2611,5301
1981-KY,1981,KY,3661000,10599,308,766.0,,3687,5838
1981-LA,1981,LA,4305000,27478,673,1782.0,,8698,16325
1981-MA,1981,MA,5770000,36273,210,1580.0,,15633,18850
1981-MD,1981,MD,4261000,37800,421,1654.0,,18085,17640
1981-ME,1981,ME,1132000,2214,36,145.0,,368,1665
1981-MI,1981,MI,9201000,59058,861,4366.0,,23688,30143
1981-MN,1981,MN,4090000,9344,85,1056.0,,4266,3937
1981-MO,1981,MO,4938000,26675,516,1465.0,,10629,14065
1981-MT,1981,MT,792000,2004,27,175.0,,302,1500
1981-NC,1981,NC,5951000,25986,541,1351.0,,4809,19285
1981-ND,1981,ND,658000,444,15,57.0,,85,287
1981-NE,1981,NE,1576000,2861,49,323.0,,1115,1374
1981-NH,1981,NH,935000,1375,27,154.0,,335,859
1981-NJ,1981,NJ,7401000,46674,542,2374.0,,24761,18997
1981-NM,1981,NM,1327000,8913,151,628.0,,1868,6266
1981-NV,1981,NV,845000,7575,148,548.0,,3870,3009
1981-NY,1981,NY,17594000,188178,2166,5479.0,,120344,60189
1981-OH,1981,OH,10776000,53509,799,3339.0,,25529,23842
1981-OK,1981,OK,3098000,13223,279,1091.0,,3574,8279
1981-OR,1981,OR,2647000,12671,117,1105.0,,4780,6669
1981-PA,1981,PA,11864000,44104,729,2662.0,,22137,18576
1981-RI,1981,RI,952000,4205,40,170.0,,1257,2738
1981-SC,1981,SC,3166000,20275,330,1148.0,,3805,14992
1981-SD,1981,SD,685000,718,12,79.0,,122,505
1981-TN,1981,TN,4610000,19019,448,1735.0,,7916,8920
1981-TX,1981,TX,14755000,78560,2446,6821.0,,28528,40765
1981-UT,1981,UT,1516000,4527,50,431.0,,1286,2760
1981-VA,1981,VA,5426000,17456,464,1478.0,,7229,8285
1981-VT,1981,VT,515000,659,22,170.0,,142,325
1981-WA,1981,WA,4212000,18839,213,2115.0,,5475,11036
1981-WI,1981,WI,4739000,8904,161,745.0,,3249,4749
1981-WV,1981,WV,1951000,3410,118,289.0,,979,2024
1981-WY,1981,WY,492000,2116,27,174.0,,206,1709
1982-AK,1982,AK,438000,2732,81,374.0,,586,1691
1982-AL,1982,AL,3943000,17653,417,1026.0,,4417,11793
1982-AR,1982,AR,2291000,7438,187,622.0,,1805,4824
1982-AZ,1982,AZ,2860000,14785,236,1100.0,,4537,8912
1982-CA,1982,CA,24724000,201429,2779,12529.0,,91988,94133
1982-CO,1982,CO,3045000,15354,182,1356.0,,4587,9229
1982-CT,1982,CT,3153000,12597,164,692.0,,6574,5167
1982-DC,1982,DC,631000,13397,194,421.0,,9137,3645
1982-DE,1982,DE,602000,3370,32,186.0,,737,2415
1982-FL,1982,FL,10416000,93411,1409,5587.0,,31002,55413
1982-GA,1982,GA,5639000,26963,713,2242.0,,8716,15292
1982-HI,1982,HI,994000,2542,31,342.0,,1560,609
1982-IA,1982,IA,2905000,5018,67,362.0,,1051,3538
1982-ID,1982,ID,965000,2501,24,160.0,,292,2025
1982-IL,1982,IL,11448000,88644,1005,3424.0,,39700,44515
1982-IN,1982,IN,5471000,16444,355,1521.0,,5966,8602
1982-KS,1982,KS,2408000,8088,138,596.0,,2095,5259
1982-KY,1982,KY,3667000,11550,355,734.0,,3568,6893
1982-LA,1982,LA,4362000,29185,698,1740.0,,9275,17472
1982-MA,1982,MA,5781000,33031,219,1464.0,,12359,18989
1982-MD,1982,MD,4265000,36254,432,1596.0,,15377,18849
1982-ME,1982,ME,1133000,1847,24,152.0,,345,1326
1982-MI,1982,MI,9109000,59806,827,4246.0,,24699,30034
1982-MN,1982,MN,4133000,9062,95,938.0,,4188,3841
1982-MO,1982,MO,4951000,25078,479,1283.0,,9554,13762
1982-MT,1982,MT,801000,1801,31,119.0,,265,1386
1982-NC,1982,NC,6019000,26865,545,1322.0,,5168,19830
1982-ND,1982,ND,670000,414,5,66.0,,85,258
1982-NE,1982,NE,1586000,3641,31,329.0,,982,2299
1982-NH,1982,NH,951000,1187,21,154.0,,322,690
1982-NJ,1982,NJ,7438000,45175,482,2149.0,,22880,19664
1982-NM,1982,NM,1359000,9982,158,656.0,,1715,7453
1982-NV,1982,NV,881000,7096,120,542.0,,3697,2737
1982-NY,1982,NY,17659000,174833,2013,5159.0,,107843,59818
1982-OH,1982,OH,10791000,47126,676,3223.0,,19809,23418
1982-OK,1982,OK,3177000,14103,344,1180.0,,4218,8361
1982-OR,1982,OR,2649000,12529,136,1057.0,,4433,6903
1982-PA,1982,PA,11865000,42767,678,2448.0,,20806,18835
1982-RI,1982,RI,958000,3849,35,186.0,,1099,2529
1982-SC,1982,SC,3203000,23061,348,1242.0,,3921,17550
1982-SD,1982,SD,691000,684,19,79.0,,118,468
1982-TN,1982,TN,4651000,19586,452,1651.0,,8173,9310
1982-TX,1982,TX,15280000,88178,2466,6816.0,,33618,45278
1982-UT,1982,UT,1554000,4440,53,369.0,,1344,2674
1982-VA,1982,VA,5491000,16970,405,1366.0,,6708,8491
1982-VT,1982,VT,516000,655,12,180.0,,119,344
1982-WA,1982,WA,4245000,17251,185,1947.0,,5003,10116
1982-WI,1982,WI,4765000,9077,148,680.0,,3393,4856
1982-WV,1982,WV,1948000,3405,102,302.0,,970,2031
1982-WY,1982,WY,502000,1527,46,136.0,,172,1173
1983-AK,1983,AK,479000,2940,66,486.0,,465,1923
1983-AL,1983,AL,3959000,16471,364,931.0,,3895,11281
1983-AR,1983,AR,2328000,6930,178,586.0,,1614,4552
1983-AZ,1983,AZ,2963000,14642,213,1241.0,,3923,9265
1983-CA,1983,CA,25174000,194491,2639,12093.0,,85826,93933
1983-CO,1983,CO,3139000,14955,202,1316.0,,3968,9469
1983-CT,1983,CT,3138000,11767,129,627.0,,6296,4715
1983-DC,1983,DC,623000,11933,183,406.0,,7698,3646
1983-DE,1983,DE,606000,2746,25,229.0,,699,1793
1983-FL,1983,FL,10680000,88292,1199,5170.0,,28126,53797
1983-GA,1983,GA,5732000,26179,483,2021.0,,8267,15408
1983-HI,1983,HI,1023000,2579,57,301.0,,1330,891
1983-IA,1983,IA,2905000,5262,68,365.0,,1192,3637
1983-ID,1983,ID,989000,2361,35,181.0,,270,1875
1983-IL,1983,IL,11486000,83629,1112,3619.0,,36625,42273
1983-IN,1983,IN,5479000,15547,286,1509.0,,5474,8278
1983-KS,1983,KS,2425000,7919,137,627.0,,2038,5117
1983-KY,1983,KY,3714000,11967,364,817.0,,3236,7550
1983-LA,1983,LA,4438000,28444,629,1770.0,,8433,17612
1983-MA,1983,MA,5767000,33264,203,1495.0,,12023,19543
1983-MD,1983,MD,4304000,34736,367,1412.0,,14950,18007
1983-ME,1983,ME,1146000,1829,24,193.0,,311,1301
1983-MI,1983,MI,9069000,64993,910,5085.0,,25873,33125
1983-MN,1983,MN,4144000,7909,69,927.0,,3298,3615
1983-MO,1983,MO,4970000,23718,403,1330.0,,8346,13639
1983-MT,1983,MT,817000,1737,30,162.0,,192,1353
1983-NC,1983,NC,6082000,24911,490,1332.0,,4840,18249
1983-ND,1983,ND,680000,365,14,85.0,,53,213
1983-NE,1983,NE,1597000,3477,42,339.0,,796,2300
1983-NH,1983,NH,959000,1200,19,187.0,,231,763
1983-NJ,1983,NJ,7468000,41304,399,2266.0,,20086,18553
1983-NM,1983,NM,1399000,9608,124,671.0,,1595,7218
1983-NV,1983,NV,891000,5838,114,457.0,,2737,2530
1983-NY,1983,NY,17667000,161489,1958,5296.0,,94783,59452
1983-OH,1983,OH,10746000,42759,600,3387.0,,17132,21640
1983-OK,1983,OK,3298000,13964,249,1247.0,,4245,8223
1983-OR,1983,OR,2662000,12986,109,1078.0,,4533,7266
1983-PA,1983,PA,11895000,40782,583,2449.0,,20501,17249
1983-RI,1983,RI,955000,3392,26,160.0,,1078,2128
1983-SC,1983,SC,3264000,20133,321,1144.0,,3425,15243
1983-SD,1983,SD,700000,840,15,119.0,,111,595
1983-TN,1983,TN,4685000,18836,410,1682.0,,8094,8650
1983-TX,1983,TX,15724000,80546,2239,6333.0,,29769,42205
1983-UT,1983,UT,1619000,4144,56,403.0,,1041,2644
1983-VA,1983,VA,5550000,16236,387,1370.0,,6132,8347
1983-VT,1983,VT,525000,696,19,214.0,,146,317
1983-WA,1983,WA,4300000,15986,212,1923.0,,4533,9318
1983-WI,1983,WI,4751000,9070,131,861.0,,3415,4663
1983-WV,1983,WV,1965000,3375,96,263.0,,869,2147
1983-WY,1983,WY,514000,1219,30,110.0,,153,926
1984-AK,1984,AK,500000,3108,58,458.0,,547,2045
1984-AL,1984,AL,3990000,17204,374,1002.0,,3833,11995
1984-AR,1984,AR,2349000,7549,176,697.0,,1587,5089
1984-AZ,1984,AZ,3053000,15756,238,1316.0,,4003,10199
1984-CA,1984,CA,25622000,195589,2717,11702.0,,83924,97246
1984-CO,1984,CO,3178000,14548,184,1238.0,,3623,9503
1984-CT,1984,CT,3154000,12422,122,759.0,,6009,5532
1984-DC,1984,DC,623000,10725,175,366.0,,6087,4097
1984-DE,1984,DE,613000,2671,25,300.0,,711,1635
1984-FL,1984,FL,10976000,95270,1264,5570.0,,30311,58125
1984-GA,1984,GA,5837000,27935,546,2356.0,,8414,16619
1984-HI,1984,HI,1039000,2409,34,314.0,,1204,857
1984-IA,1984,IA,2910000,5781,59,375.0,,1114,4233
1984-ID,1984,ID,1001000,2355,34,187.0,,244,1890
1984-IL,1984,IL,11511000,83441,1033,3594.0,,34965,43849
1984-IN,1984,IN,5498000,16781,303,1372.0,,5435,9671
1984-KS,1984,KS,2438000,8147,89,669.0,,1745,5644
1984-KY,1984,KY,3723000,10342,244,826.0,,2631,6641
1984-LA,1984,LA,4462000,30251,575,1864.0,,8501,19311
1984-MA,1984,MA,5798000,30362,211,1627.0,,10122,18402
1984-MD,1984,MD,4349000,34455,354,1640.0,,13097,19364
1984-ME,1984,ME,1156000,1832,20,155.0,,305,1352
1984-MI,1984,MI,9075000,68979,879,5880.0,,27832,34388
1984-MN,1984,MN,4162000,8802,74,1051.0,,2960,4717
1984-MO,1984,MO,5008000,23071,358,1325.0,,7053,14335
1984-MT,1984,MT,824000,1958,36,170.0,,226,1526
1984-NC,1984,NC,6165000,24885,539,1330.0,,4612,18404
1984-ND,1984,ND,686000,368,8,90.0,,53,217
1984-NE,1984,NE,1606000,3627,54,381.0,,693,2499
1984-NH,1984,NH,977000,1308,10,202.0,,227,869
1984-NJ,1984,NJ,7515000,39659,402,2446.0,,18218,18593
1984-NM,1984,NM,1424000,9798,130,783.0,,1856,7029
1984-NV,1984,NV,911000,5726,98,553.0,,2542,2533
1984-NY,1984,NY,17735000,162157,1786,5599.0,,89900,64872
1984-OH,1984,OH,10752000,41430,551,3734.0,,15656,21489
1984-OK,1984,OK,3298000,13438,258,1315.0,,3668,8197
1984-OR,1984,OR,2674000,13533,128,1201.0,,4508,7696
1984-PA,1984,PA,11901000,38154,538,2764.0,,17656,17196
1984-RI,1984,RI,962000,3220,33,205.0,,1091,1891
1984-SC,1984,SC,3300000,20607,305,1329.0,,3408,15565
1984-SD,1984,SD,706000,1041,13,190.0,,105,733
1984-TN,1984,TN,4717000,21010,394,1887.0,,7867,10862
1984-TX,1984,TX,15989000,80737,2093,7343.0,,28540,42761
1984-UT,1984,UT,1652000,4035,47,336.0,,958,2694
1984-VA,1984,VA,5636000,16660,434,1503.0,,5765,8958
1984-VT,1984,VT,530000,769,12,105.0,,122,530
1984-WA,1984,WA,4349000,17676,202,2176.0,,5247,10051
1984-WI,1984,WI,4766000,9367,117,790.0,,3167,5293
1984-WV,1984,WV,1952000,3283,86,305.0,,744,2148
1984-WY,1984,WY,511000,1237,17,107.0,,118,995
1985-AK,1985,AK,521000,3031,51,402.0,,484,2094
1985-AL,1985,AL,4021000,18398,396,1079.0,,4237,12686
1985-AR,1985,AR,2359000,8199,187,686.0,,1617,5709
1985-AZ,1985,AZ,3187000,19202,254,1458.0,,4670,12820
1985-CA,1985,CA,26365000,201763,2770,11421.0,,86387,101185
1985-CO,1985,CO,3231000,15219,189,1321.0,,4012,9697
1985-CT,1985,CT,3174000,12758,120,763.0,,6032,5843
1985-DC,1985,DC,626000,10171,147,337.0,,5230,4457
1985-DE,1985,DE,622000,2695,30,296.0,,773,1596
1985-FL,1985,FL,11366000,106971,1296,6004.0,,35506,64165
1985-GA,1985,GA,5976000,30311,620,2587.0,,9812,17292
1985-HI,1985,HI,1054000,2313,43,310.0,,1048,912
1985-IA,1985,IA,2884000,6106,55,363.0,,1187,4501
1985-ID,1985,ID,1005000,2360,22,192.0,,269,1877
1985-IL,1985,IL,11535000,82448,927,4529.0,,33120,43872
1985-IN,1985,IN,5499000,17014,319,1318.0,,5065,10312
1985-KS,1985,KS,2450000,8716,121,719.0,,1929,5947
1985-KY,1985,KY,3726000,11384,256,806.0,,2821,7501
1985-LA,1985,LA,4481000,31108,487,1782.0,,8526,20313
1985-MA,1985,MA,5822000,31334,202,1734.0,,10974,18424
1985-MD,1985,MD,4392000,36655,348,1700.0,,13272,21335
1985-ME,1985,ME,1164000,1950,28,167.0,,284,1471
1985-MI,1985,MI,9088000,66714,1018,6140.0,,26572,32984
1985-MN,1985,MN,4193000,10751,88,1242.0,,3598,5823
1985-MO,1985,MO,5029000,25321,409,1468.0,,7425,16019
1985-MT,1985,MT,826000,1722,48,159.0,,173,1342
1985-NC,1985,NC,6255000,26327,520,1488.0,,4893,19426
1985-ND,1985,ND,685000,322,7,50.0,,44,221
1985-NE,1985,NE,1606000,3821,47,376.0,,779,2619
1985-NH,1985,NH,998000,1405,21,191.0,,266,927
1985-NJ,1985,NJ,7562000,41172,407,2424.0,,19282,19059
1985-NM,1985,NM,1450000,10207,158,722.0,,2003,7324
1985-NV,1985,NV,936000,6244,96,564.0,,2573,3011
1985-NY,1985,NY,17783000,165365,1683,5706.0,,89706,68270
1985-OH,1985,OH,10744000,41000,554,3966.0,,14301,22179
1985-OK,1985,OK,3301000,13930,254,1252.0,,3526,8898
1985-OR,1985,OR,2687000,14807,125,1363.0,,4986,8333
1985-PA,1985,PA,11853000,39240,550,2886.0,,17429,18375
1985-RI,1985,RI,968000,3355,35,253.0,,1122,1945
1985-SC,1985,SC,3347000,21121,304,1385.0,,3143,16289
1985-SD,1985,SD,708000,967,13,168.0,,121,665
1985-TN,1985,TN,4762000,22592,429,2027.0,,8614,11522
1985-TX,1985,TX,16370000,90030,2132,8364.0,,31680,47854
1985-UT,1985,UT,1645000,4398,50,381.0,,908,3059
1985-VA,1985,VA,5706000,16813,405,1551.0,,5720,9137
1985-VT,1985,VT,535000,790,18,103.0,,112,557
1985-WA,1985,WA,4409000,18757,231,2420.0,,5821,10285
1985-WI,1985,WI,4775000,9880,135,875.0,,3351,5519
1985-WV,1985,WV,1936000,3214,73,359.0,,728,2054
1985-WY,1985,WY,509000,1307,22,114.0,,102,1069
1986-AK,1986,AK,534000,3046,46,388.0,,470,2142
1986-AL,1986,AL,4053000,22616,409,1150.0,,4523,16534
1986-AR,1986,AR,2372000,9365,191,686.0,,1890,6598
1986-AZ,1986,AZ,3317000,21835,307,1425.0,,5614,14489
1986-CA,1986,CA,26981000,248370,3038,12119.0,,92512,140701
1986-CO,1986,CO,3267000,17105,230,1382.0,,4731,10762
1986-CT,1986,CT,3189000,13578,148,760.0,,6129,6541
1986-DC,1986,DC,626000,9423,194,328.0,,4720,4181
1986-DE,1986,DE,633000,2703,31,360.0,,786,1526
1986-FL,1986,FL,11675000,121013,1371,6152.0,,42822,70668
1986-GA,1986,GA,6104000,35869,686,2678.0,,13056,19449
1986-HI,1986,HI,1062000,2604,51,329.0,,1129,1095
1986-IA,1986,IA,2851000,6703,51,356.0,,1197,5099
1986-ID,1986,ID,1003000,2232,32,201.0,,214,1785
1986-IL,1986,IL,11533000,93454,1023,4765.0,,37583,50083
1986-IN,1986,IN,5504000,16937,329,1424.0,,4954,10230
1986-KS,1986,KS,2461000,9076,108,810.0,,1958,6200
1986-KY,1986,KY,3728000,12467,248,860.0,,3076,8283
1986-LA,1986,LA,4501000,34128,575,1806.0,,10071,21676
1986-MA,1986,MA,5832000,32476,208,1731.0,,11239,19298
1986-MD,1986,MD,4463000,37177,401,1944.0,,13569,21263
1986-ME,1986,ME,1174000,1726,23,174.0,,328,1201
1986-MI,1986,MI,9145000,73517,1032,6167.0,,27550,38768
1986-MN,1986,MN,4214000,11991,105,1338.0,,4299,6249
1986-MO,1986,MO,5066000,29310,464,1480.0,,8624,18742
1986-MT,1986,MT,819000,1289,24,142.0,,160,963
1986-NC,1986,NC,6331000,30128,515,1673.0,,5551,22389
1986-ND,1986,ND,679000,348,7,79.0,,47,215
1986-NE,1986,NE,1598000,4196,50,393.0,,817,2936
1986-NH,1986,NH,1027000,1433,23,221.0,,242,947
1986-NJ,1986,NJ,7620000,43623,399,2531.0,,20473,20220
1986-NM,1986,NM,1479000,10731,170,693.0,,1916,7952
1986-NV,1986,NV,963000,6923,121,625.0,,2763,3414
1986-NY,1986,NY,17772000,175210,1907,5415.0,,91360,76528
1986-OH,1986,OH,10752000,45260,595,4151.0,,15283,25231
1986-OK,1986,OK,3305000,14423,269,1202.0,,3521,9431
1986-OR,1986,OR,2698000,14830,178,1379.0,,5555,7718
1986-PA,1986,PA,11889000,42629,659,2984.0,,18085,20901
1986-RI,1986,RI,975000,3271,34,209.0,,1157,1871
1986-SC,1986,SC,3378000,22789,291,1395.0,,3361,17742
1986-SD,1986,SD,708000,883,28,125.0,,115,615
1986-TN,1986,TN,4803000,25919,501,2256.0,,9978,13184
1986-TX,1986,TX,16682000,109925,2258,8607.0,,40021,59039
1986-UT,1986,UT,1665000,4441,53,421.0,,976,2991
1986-VA,1986,VA,5787000,17708,411,1533.0,,6118,9646
1986-VT,1986,VT,541000,807,11,118.0,,120,558
1986-WA,1986,WA,4463000,19505,223,2382.0,,6031,10869
1986-WI,1986,WI,4785000,12339,149,961.0,,3483,7746
1986-WV,1986,WV,1919000,3156,114,362.0,,787,1893
1986-WY,1986,WY,507000,1486,27,111.0,,114,1234
1987-AK,1987,AK,525000,2391,53,341.0,,384,1613
1987-AL,1987,AL,4083000,22833,380,1137.0,,4581,16735
1987-AR,1987,AR,2388000,9839,182,779.0,,1890,6988
1987-AZ,1987,AZ,3386000,20742,253,1396.0,,4687,14406
1987-CA,1987,CA,27663000,253943,2924,12109.0,,83341,155569
1987-CO,1987,CO,3296000,15409,191,1344.0,,3916,9958
1987-CT,1987,CT,3211000,13455,156,800.0,,5720,6779
1987-DC,1987,DC,622000,10016,225,245.0,,4462,5084
1987-DE,1987,DE,644000,2774,33,441.0,,789,1511
1987-FL,1987,FL,12023000,123168,1371,6032.0,,42869,72896
1987-GA,1987,GA,6222000,35868,735,2681.0,,13014,19438
1987-HI,1987,HI,1083000,2851,52,393.0,,1061,1345
1987-IA,1987,IA,2834000,6553,59,337.0,,1025,5132
1987-ID,1987,ID,998000,2138,31,175.0,,242,1690
1987-IL,1987,IL,11582000,92216,967,4443.0,,36406,50400
1987-IN,1987,IN,5531000,18169,307,1609.0,,4901,11352
1987-KS,1987,KS,2476000,8932,110,808.0,,2032,5982
1987-KY,1987,KY,3727000,12589,280,781.0,,3361,8167
1987-LA,1987,LA,4461000,30916,496,1600.0,,7987,20833
1987-MA,1987,MA,5855000,33060,173,1868.0,,10379,20640
1987-MD,1987,MD,4535000,34820,436,1795.0,,13164,19425
1987-ME,1987,ME,1187000,1806,30,186.0,,304,1286
1987-MI,1987,MI,9200000,71772,1124,6184.0,,25442,39022
1987-MN,1987,MN,4246000,12118,112,1439.0,,4354,6213
1987-MO,1987,MO,5103000,27792,423,1473.0,,8376,17520
1987-MT,1987,MT,809000,1223,33,160.0,,196,834
1987-NC,1987,NC,6413000,31039,519,1863.0,,6023,22634
1987-ND,1987,ND,672000,382,10,63.0,,51,258
1987-NE,1987,NE,1594000,4004,55,345.0,,751,2853
1987-NH,1987,NH,1057000,1581,32,281.0,,280,988
1987-NJ,1987,NJ,7672000,41507,351,2559.0,,17862,20735
1987-NM,1987,NM,1500000,9427,152,646.0,,1625,7004
1987-NV,1987,NV,1007000,7006,85,622.0,,2744,3555
1987-NY,1987,NY,17825000,179691,2016,5537.0,,89721,82417
1987-OH,1987,OH,10784000,45436,630,4305.0,,16511,23990
1987-OK,1987,OK,3272000,13664,244,1173.0,,3583,8664
1987-OR,1987,OR,2724000,14697,153,1247.0,,5338,7959
1987-PA,1987,PA,11936000,44087,642,3130.0,,17241,23074
1987-RI,1987,RI,986000,3547,35,241.0,,1062,2209
1987-SC,1987,SC,3425000,22773,318,1497.0,,3463,17495
1987-SD,1987,SD,709000,849,13,146.0,,87,603
1987-TN,1987,TN,4855000,25900,444,2133.0,,9409,13914
1987-TX,1987,TX,16789000,105961,1959,8068.0,,38053,57881
1987-UT,1987,UT,1680000,3861,55,365.0,,887,2554
1987-VA,1987,VA,5904000,17414,437,1537.0,,6244,9196
1987-VT,1987,VT,548000,748,15,123.0,,92,518
1987-WA,1987,WA,4538000,19945,256,2370.0,,6417,10902
1987-WI,1987,WI,4807000,12014,168,954.0,,3192,7700
1987-WV,1987,WV,1897000,2605,92,429.0,,591,1493
1987-WY,1987,WY,490000,1387,10,154.0,,98,1125
1988-AK,1988,AK,513000,2682,29,296.0,,374,1983
1988-AL,1988,AL,4127000,23052,408,1228.0,,4860,16556
1988-AR,1988,AR,2422000,10237,211,780.0,,2037,7209
1988-AZ,1988,AZ,3466000,21147,294,1345.0,,4750,14758
1988-CA,1988,CA,28168000,261912,2936,11780.0,,86141,161055
1988-CO,1988,CO,3290000,15548,187,1269.0,,3250,10842
1988-CT,1988,CT,3241000,14759,174,849.0,,6080,7656
1988-DC,1988,DC,620000,11914,369,165.0,,5690,5690
1988-DE,1988,DE,660000,2981,34,491.0,,784,1672
1988-FL,1988,FL,12377000,138343,1416,6154.0,,49916,80857
1988-GA,1988,GA,6401000,42589,748,2970.0,,15593,23278
1988-HI,1988,HI,1093000,2810,44,355.0,,919,1492
1988-IA,1988,IA,2834000,7279,47,446.0,,1132,5654
1988-ID,1988,ID,999000,2345,36,179.0,,202,1928
1988-IL,1988,IL,11544000,93557,991,4449.0,,36097,52020
1988-IN,1988,IN,5575000,21187,358,1731.0,,4963,14135
1988-KS,1988,KS,2487000,9083,85,779.0,,2136,6083
1988-KY,1988,KY,3721000,12284,229,835.0,,2764,8456
1988-LA,1988,LA,4420000,31711,512,1702.0,,9238,20259
1988-MA,1988,MA,5871000,36376,208,1876.0,,10352,23940
1988-MD,1988,MD,4644000,37466,449,1721.0,,13994,21302
1988-ME,1988,ME,1206000,1898,37,224.0,,311,1326
1988-MI,1988,MI,9300000,68980,1009,6462.0,,22424,39085
1988-MN,1988,MN,4306000,12490,124,1337.0,,4079,6950
1988-MO,1988,MO,5139000,28393,413,1505.0,,8638,17837
1988-MT,1988,MT,804000,989,21,135.0,,182,651
1988-NC,1988,NC,6526000,32753,510,1833.0,,7085,23325
1988-ND,1988,ND,663000,392,12,74.0,,54,252
1988-NE,1988,NE,1601000,4374,58,385.0,,898,3033
1988-NH,1988,NH,1097000,1622,25,276.0,,231,1090
1988-NJ,1988,NJ,7720000,44993,411,2600.0,,18927,23055
1988-NM,1988,NM,1510000,9938,173,580.0,,1557,7628
1988-NV,1988,NV,1060000,8275,111,782.0,,3087,4295
