Number,dateReported,timeReported,startDate,offenseCode,offenseDescription,streetAddress,cityDescription,stateDescription,zipCode,geolocation,Booked,DAComplaint,Cited,burglaryFactor,felonyMisdemeanor
MP20000067,1/1/20, 7:02:31 PM,"Dec 30, 2019, 6:15:00 AM",664 /460 (A) PC,664 /460 (A) PC ATTEMPTED BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2911,1700 MC HENRY AVE,MODESTO,CALIFORNIA,,"37.66894491,-120.9923421",0,0,0,RESIDENCE - DAY (6AM - 6PM),FELONY
MP20000040,1/1/20, 2:11:00 PM,"Jan 1, 2020, 11:25:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,901 N CARPENTER RD,MO,,,"37.64774644,-121.0309447",0,0,0,,FELONY
MP20000062,1/1/20, 3:28:00 PM,"Jan 1, 2020, 3:20:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1956 EL SERENO ST,MO,,95358,"37.60376174,-121.0224092",0,0,0,,FELONY
MP20000069,1/1/20, 6:57:00 PM,"Jan 1, 2020, 4:30:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,3401 DALE RD,MO,,,"37.68949614,-121.0529289",0,0,0,,FELONY
MP20000084,1/1/20, 10:20:00 PM,"Jan 1, 2020, 7:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1808 USTICK RD,MO,,95358,"37.602862,-121.0114855",0,0,0,,FELONY
MP20800004,1/1/20, 11:36:00 AM,"Dec 30, 2019, 12:00:00 AM",488 PC,488 PC PETTY THEFT 06 Theft 2305,1616 TERESA ST,MODESTO,CALIFORNIA,95350,"37.66478829,-121.0202469",0,0,0,,MISDEMEANOR
MP20800007,1/1/20, 10:56:00 PM,"Jan 1, 2020, 6:00:00 PM",488 PC,488 PC PETTY THEFT 06 Theft 2305,N N CARPENTER RD & BLUE GUM AVE,MODESTO,CALIFORNIA,95351,"37.66052455,-121.0311415",0,0,0,,MISDEMEANOR
MP20000019,1/1/20, 8:52:18 AM,"Jan 1, 2020, 8:52:18 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,920 PINE TREE LN,MODESTO,CALIFORNIA,95351,"37.61682379,-121.0225978",0,0,0,,FELONY
MP20000033,1/1/20, 12:36:00 PM,"Dec 31, 2019, 9:30:00 PM",289 (A)(1) PC,289 (A)(1) PC SEXUAL PENETRATION WITH FORCE/ETC 02a. Rape 1613,UNKNOWN,,CALIFORNIA,,,0,0,0,,FELONY
MP20000087,1/1/20, 8:59:44 PM,"Jan 1, 2020, 8:59:44 PM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,1120 DOROTHY WAY,MODESTO,CALIFORNIA,95350,"37.67497769,-120.9780849",1,1,0,,FELONY
MP20000087,1/1/20, 8:59:44 PM,"Jan 1, 2020, 8:59:44 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,1120 DOROTHY WAY,MODESTO,CALIFORNIA,95350,"37.67497769,-120.9780849",1,1,0,,FELONY
MP20000001,1/1/20, 12:29:24 AM,"Jan 1, 2020, 12:29:24 AM",273 A(A) PC,273 A(A) PC WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH: FELONY 04 Aggravated Assault 1475,"I ST, MO / 12TH ST, MO ( 46/A1 ) ; EOF",,,,"37.64096853,-120.9972434",0,0,0,,FELONY
MP20000138,1/2/20, 2:14:00 PM,"Dec 21, 2019, 6:00:00 PM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,1325 PALOMAR WAY,MODESTO,CALIFORNIA,95355,"37.66269959,-120.97334",0,0,0,,FELONY
MP20000175,1/2/20, 6:34:39 PM,"Jan 2, 2020, 6:00:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1513 ROBERTSON RD,MODESTO,CALIFORNIA,95351,"37.61352143,-121.0123792",1,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000164,1/2/20, 4:36:45 PM,"Dec 30, 2019, 4:30:00 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,522 E GRANGER AVE,MODESTO,CALIFORNIA,95350,"37.66691951,-120.9861792",0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000182,1/2/20, 8:23:13 PM,"Jan 2, 2020, 8:23:13 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,1707 MC HENRY AVE,MO,CALIFORNIA,95350,"37.66979442,-120.9945899",1,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000151,1/2/20, 3:27:01 PM,"Dec 31, 2019, 4:30:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,3232 PIRELLI CT,MODESTO,CALIFORNIA,95355,"37.68486556,-120.938804",0,0,0,RESIDENCE - UNKNOWN,FELONY
MP20000099,1/2/20, 6:27:22 AM,"Jan 1, 2020, 11:00:00 PM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,4005 MOUNT PLEASANT DR,MODESTO,CALIFORNIA,95357,"37.69647873,-120.973902",0,0,0,,FELONY
MP20000101,1/2/20, 5:26:50 AM,"Jan 1, 2020, 7:00:00 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,1220 13TH ST,MODESTO,CALIFORNIA,95354,"37.64533891,-121.0000839",0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000186,1/2/20, 9:27:36 PM,"Jan 2, 2020, 9:27:36 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,807 NEEDHAM ST,MODESTO,CALIFORNIA,95350,"37.64612272,-121.0032361",0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20800011,1/2/20, 10:43:00 AM,"Dec 23, 2019, 9:00:00 PM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,2900 W RUMBLE RD,MODESTO,CALIFORNIA,95350,"37.68189449,-121.0481281",0,0,0,,FELONY
MP20000095,1/2/20, 2:58:42 AM,"Jan 2, 2020, 2:58:42 AM",243 (D) PC,243 (D) PC BATTERY W/SERIOUS BODILY INJURY: FELONY 04 Aggravated Assault 1192,903 5TH ST,MO,,,"37.63601522,-121.0046637",0,0,0,,FELONY
MP20000095,1/2/20, 2:58:42 AM,"Jan 2, 2020, 2:58:42 AM",245 (A)(4) PC,245 (A)(4) PC ASSAULT WITH DEADLY WEAPON:  POSSIBLE GBI: FELONY 04 Aggravated Assault 1236,903 5TH ST,MO,,,"37.63601522,-121.0046637",0,0,0,,FELONY
MP20000095,1/2/20, 2:58:42 AM,"Jan 2, 2020, 2:58:42 AM",211 PC,211 PC ROBBERY 03 Robbery 853,903 5TH ST,MO,,,"37.63601522,-121.0046637",0,0,0,,FELONY
MP20000188,1/2/20, 11:55:00 PM,"Jan 2, 2020, 11:50:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,2337 LAMBERT ST,MO,,95354,"37.64828687,-120.9535948",0,0,0,,FELONY
MP20000181,1/2/20, 6:47:06 PM,"Jan 2, 2020, 6:47:06 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,2805 YOSEMITE BLVD,MO,CALIFORNIA,,"37.63854846,-120.9418657",0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20800078,1/2/20, 12:43:00 PM,"Jan 2, 2020, 10:35:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1712 RANDAZZO AVE,MODESTO,CALIFORNIA,95350,"37.66997761,-121.0270232",0,0,0,,
MP20000207,1/3/20, 8:44:00 AM,"Jan 3, 2020, 8:44:00 AM",273 A(A) PC,273 A(A) PC WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH: FELONY 04 Aggravated Assault 1475,1104 SPRINGFIELD WAY,MODESTO,CALIFORNIA,95355,"37.658413,-120.9327492",1,0,0,,FELONY
MP20000254,1/3/20, 5:26:32 PM,"Jan 3, 2020, 5:26:32 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,3401 DALE RD,MODESTO,CALIFORNIA,95356,"37.68874156,-121.0540147",0,0,0,NON-RESIDENCE - DAY (6AM - 6PM),FELONY
MP20000255,1/3/20, 4:37:39 PM,"Jan 3, 2020, 4:37:39 PM",261 (A)(2) PC,261 (A)(2) PC RAPE BY FORCE/FEAR/ETC 02a. Rape 1375,444 ROSEDALE AVE,MO,,95351,"37.62438717,-121.0062941",0,0,0,,FELONY
MP20000270,1/3/20, 8:49:27 PM,"Jan 3, 2020, 8:49:27 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,310 H ST,MODESTO,CALIFORNIA,95351,"37.63366636,-121.0041453",0,0,0,,FELONY
MP20000205,1/3/20, 7:51:20 AM,"Jan 3, 2020, 4:00:00 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,928 15TH ST,MODESTO,CALIFORNIA,95354,"37.6440509,-120.994975",1,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000278,1/3/20, 8:51:35 PM,"Jan 3, 2020, 8:51:35 PM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,722 EL CAMINO AVE,MO,,95350,"37.65438173,-120.9792923",0,0,0,,FELONY
MP20000202,1/3/20, 7:34:02 AM,"Jan 3, 2020, 7:34:02 AM",273 A(A) PC,273 A(A) PC WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH: MISD 04 Aggravated Assault 1474,301 STANDIFORD AVE,MODESTO,CALIFORNIA,95356,"37.68979757,-120.9967614",1,0,0,,
MP20000202,1/3/20, 7:34:02 AM,"Jan 3, 2020, 7:34:02 AM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,301 STANDIFORD AVE,MODESTO,CALIFORNIA,95356,"37.68979757,-120.9967614",1,0,0,,FELONY
MP20000198,1/3/20, 6:51:00 AM,"Jan 2, 2020, 10:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1215 G ST,MO,,95354,"37.63960073,-120.994543",0,0,0,,FELONY
MP20000201,1/3/20, 8:13:00 AM,"Jan 2, 2020, 10:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,3025 NEW SALEM AVE,MO,,95354,"37.64769942,-120.9373871",0,0,0,,FELONY
MP20000204,1/3/20, 9:00:00 AM,"Jan 2, 2020, 9:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1000 HAMMOND ST,MO,,95351,"37.61622493,-121.0183939",0,0,0,,FELONY
MP20000208,1/3/20, 9:34:00 AM,"Jan 2, 2020, 8:20:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,3601 PRESCOTT RD,MO,,,"37.69164156,-121.032385",0,0,0,,FELONY
MP20000218,1/3/20, 11:20:00 AM,"Jan 2, 2020, 7:30:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1712 CARVER RD,MO,,,"37.67003386,-121.0214622",0,0,0,,FELONY
MP20000266,1/3/20, 7:26:55 PM,"Jan 3, 2020, 4:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1114 6TH ST,MO,,,"37.63922782,-121.0055621",0,0,0,,FELONY
MP20000279,1/3/20, 11:28:00 PM,"Jan 3, 2020, 10:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,628 KERR AVE,MO,,95354,"37.62992593,-120.9715332",0,0,0,,FELONY
MP20000200,1/3/20, 5:33:01 AM,"Jan 2, 2020, 10:00:00 PM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,716 W UNION AVE,MODESTO,CALIFORNIA,95356,"37.69310757,-121.0026964",0,0,0,,FELONY
MP20000261,1/3/20, 5:57:34 PM,"Jan 3, 2020, 2:30:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1921 SILVAIRE DR,MODESTO,CALIFORNIA,95350,"37.67722335,-121.0266278",0,0,0,RESIDENCE - DAY (6AM - 6PM),FELONY
MP20800071,1/3/20, 12:05:00 PM,"Dec 26, 2019, 10:30:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,3848 MC HENRY AVE,MODESTO,CALIFORNIA,95356,"37.69452597,-120.9919106",0,0,0,,FELONY
MP20800108,1/3/20, 10:35:00 AM,"Jan 3, 2020, 5:20:00 AM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,3860 SEMALLON DR,MODESTO,CALIFORNIA,95356,"37.69580614,-121.0037953",0,0,0,,FELONY
MP20000310,1/4/20, 11:36:53 AM,"Jan 4, 2020, 11:36:53 AM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,721 STANDIFORD AVE,MODESTO,CALIFORNIA,95356,"37.68949457,-121.003188",1,0,0,,FELONY
MP20000303,1/4/20, 10:11:10 AM,"Jan 4, 2020, 10:11:10 AM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,2001 FLOYD AVE,MODESTO,CALIFORNIA,95355,"37.67828913,-120.9637108",1,0,0,,FELONY
MP20000299,1/4/20, 9:50:04 AM,"Jan 4, 2020, 9:20:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,428 LEON AVE,MODESTO,CALIFORNIA,95351,"37.62503656,-121.0099087",0,0,0,NON-RESIDENCE - DAY (6AM - 6PM),FELONY
MP20000301,1/4/20, 10:03:00 AM,"Jan 3, 2020, 6:00:00 PM",488 PC,488 PC PETTY THEFT 06 Theft 2305,2901 HEALTH CARE WAY,MODESTO,CALIFORNIA,95356,"37.70912987,-121.0486155",0,0,0,,MISDEMEANOR
MP20000283,1/4/20, 1:58:39 AM,"Jan 4, 2020, 1:58:39 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,3313 MC HENRY AVE,MODESTO,CALIFORNIA,95350,"37.68600029,-120.9946742",1,0,0,,FELONY
MP20000316,1/4/20, 1:48:00 PM,"Jan 4, 2020, 12:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1311 MONTEREY AVE,MODESTO,CALIFORNIA,95354,"37.62740406,-120.9742697",0,0,0,,FELONY
MP20000323,1/4/20, 2:12:42 PM,"Jan 4, 2020, 2:12:42 PM",273 A(A) PC,273 A(A) PC WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH: FELONY 04 Aggravated Assault 1475,3821 DRAGOO PARK DR,MODESTO,CALIFORNIA,95356,"37.69457281,-120.9850979",1,0,0,,FELONY
MP20000315,1/4/20, 2:26:00 PM,"Jan 3, 2020, 9:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1801 EDGEBROOK DR,MODESTO,CALIFORNIA,95354,"37.6476697,-120.9658293",0,0,0,,FELONY
MP20000315,1/4/20, 2:26:00 PM,"Jan 3, 2020, 9:00:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1801 EDGEBROOK DR,MODESTO,CALIFORNIA,95354,"37.6476697,-120.9658293",0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000348,1/4/20, 8:53:22 PM,"Jan 4, 2020, 8:18:00 PM",273 A(A) PC,273 A(A) PC WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH: FELONY 04 Aggravated Assault 1475,3401 DALE RD,MO,,,"37.68873653,-121.0540018",1,0,0,,FELONY
MP20000360,1/4/20, 11:57:04 PM,"Jan 4, 2020, 11:57:04 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,3505 WOODGLEN DR,MODESTO,CALIFORNIA,95356,"37.69976982,-121.0620112",1,0,0,,FELONY
MP20000338,1/4/20, 7:04:45 PM,"Jan 4, 2020, 7:04:45 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,1001 HAMMOND ST,MO,,,"37.61600871,-121.0197963",0,0,0,,FELONY
MP20000357,1/4/20, 9:02:20 PM,"Jan 4, 2020, 6:30:00 PM",245 (A)(4) PC,245 (A)(4) PC ASSAULT WITH DEADLY WEAPON:  POSSIBLE GBI: FELONY 04 Aggravated Assault 1236,2057 GLENDALE AVE,MODESTO,CALIFORNIA,95354,"37.63947596,-120.9600047",0,1,0,,FELONY
MP20000356,1/4/20, 11:41:26 PM,"Jan 4, 2020, 11:41:26 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,936 MC HENRY AVE,MODESTO,CALIFORNIA,,"37.65694356,-120.9935954",0,0,0,,FELONY
MP20000324,1/4/20, 2:00:00 PM,"Jan 1, 2020, 12:00:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1806 BRADFORD CT,MO,,95355,"37.67701647,-120.9663197",0,0,0,,FELONY
MP20000339,1/4/20, 7:28:49 PM,"Jan 4, 2020, 7:20:00 PM",664 /460 (A) PC,664 /460 (A) PC ATTEMPTED BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2911,1351 LEONARD AVE,MODESTO,CALIFORNIA,95350,"37.65479046,-121.0140804",0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000344,1/4/20, 7:31:15 PM,"Jan 4, 2020, 7:20:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,4212 GABRIEL WAY,MO,,95356,"37.6984133,-120.9901591",0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000390,1/5/20, 10:38:18 AM,"Jan 5, 2020, 10:38:18 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,9TH/ K ST,MODESTO,CALIFORNIA,95354,"37.64227677,-120.9920909",0,0,0,,FELONY
MP20000365,1/5/20, 2:36:50 AM,"Jan 5, 2020, 2:36:50 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,3348 CLAUS RD,MODESTO,CALIFORNIA,95357,"37.68695668,-120.9210608",0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000382,1/5/20, 9:44:00 AM,"Jan 4, 2020, 7:30:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1113 HARBERT LN,MODESTO,CALIFORNIA,95350,"37.68774329,-120.9786454",0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000403,1/5/20, 2:00:00 PM,"Dec 19, 2019, 8:45:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1628 ROUSE AVE,MODESTO,CALIFORNIA,95351,"37.62049735,-121.0150332",0,0,0,RESIDENCE - UNKNOWN,FELONY
MP20000406,1/5/20, 3:28:17 PM,"Jan 5, 2020, 3:28:17 PM",273 A(A) PC,273 A(A) PC WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH: FELONY 04 Aggravated Assault 1475,3904 MESROB CT,MO,,95356,"37.69565644,-121.0631513",1,0,0,,FELONY
MP20000417,1/5/20, 4:28:00 PM,"Jan 5, 2020, 4:20:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,2404 BUCKLEY WAY,MODESTO,CALIFORNIA,95358,"37.65754996,-121.0435509",1,0,0,RESIDENCE - DAY (6AM - 6PM),FELONY
MP20000418,1/5/20, 7:24:10 PM,"Jan 5, 2020, 7:13:00 PM",211 PC,211 PC ROBBERY 03 Robbery 853,901 N CARPENTER RD,MO,,,"37.64800588,-121.032135",0,0,0,,FELONY
MP20000408,1/5/20, 4:09:58 PM,"Jan 5, 2020, 4:09:58 PM",273.5 (F)(1) PC,273.5 (F)(1) PC INFLICT CORPORAL INJURY ON SPOUSE/COHAB/GRLFRND W/ PRIORS: FELONY 04 Aggravated Assault 3126,1101 MC HENRY AVE,MODESTO,CALIFORNIA,95350,"37.65916686,-120.9943984",0,1,0,,FELONY
MP20000433,1/5/20, 8:10:49 PM,"Jan 5, 2020, 8:10:49 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,232 FLOYD AVE,MODESTO,CALIFORNIA,95350,"37.67764977,-120.9896777",1,0,0,,FELONY
MP20000423,1/5/20, 7:14:00 PM,"Jan 5, 2020, 5:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1538 NIAN WAY,MO,,95351,"37.61713344,-121.0139782",0,0,0,,FELONY
MP20000364,1/5/20, 2:00:00 AM,"Jan 5, 2020, 2:00:00 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,3719 TULLY RD,MODESTO,CALIFORNIA,95356,"37.69286297,-121.0130673",0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000402,1/5/20, 3:43:00 PM,"Nov 5, 2018, 1:00:00 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,2412 OAKDALE RD,MODESTO,CALIFORNIA,95355,"37.67585859,-120.9576641",0,0,0,NON-RESIDENCE - UNKNOWN,FELONY
MP20000374,1/5/20, 8:06:00 AM,"Jan 4, 2020, 5:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,2116 CHRYSLER DR,MODESTO,CALIFORNIA,95350,"37.67817694,-121.0326781",0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20800046,1/5/20, 4:24:00 AM,"Jan 5, 2020, 4:15:00 AM",488 PC,488 PC PETTY THEFT 06 Theft 2305,301 TRAVIS LN,MODESTO,CALIFORNIA,95351,"37.64135551,-121.0192519",0,0,0,,MISDEMEANOR
MP20000372,1/5/20, 5:42:53 AM,"Jan 5, 2020, 5:42:53 AM",451 (D) PC,451 (D) PC ARSON:PROPERTY 08 Arson 2137,1436 SANDY CT,MO,,95355,"37.66417885,-120.922299",0,0,0,,
